entidadFederativa,grupoQuincenalEdad,total,Hombres,Mujeres,Anio
Nuevo León,30 a 34 años,283907,140426,143481,1995
Nuevo León,35 a 39 años,243192,120187,123005,1995
Nuevo León,40 a 44 años,183087,90621,92466,1995
Nuevo León,45 a 49 años,151856,75209,76647,1995
Nuevo León,50 a 54 años,122905,60893,62012,1995
Nuevo León,55 a 59 años,96263,47706,48557,1995
Nuevo León,60 a 64 años,77359,37553,39806,1995
Nuevo León,65 a 69 años,57318,27042,30276,1995
Nuevo León,70 a 74 años,41030,19660,21370,1995
Nuevo León,75 a 79 años,25120,11677,13443,1995
Nuevo León,80 a 84 años,16178,7040,9138,1995
Nuevo León,85 a 89 años,9406,4059,5347,1995
Nuevo León,90 a 94 años,3497,1475,2022,1995
Nuevo León,95 a 99 años,1256,538,718,1995
Nuevo León,100 años y más,267,96,171,1995
Nuevo León,No especificado,3557,1889,1668,1995
Oaxaca,0 a 4 años,402105,203558,198547,1995
Oaxaca,5 a 9 años,436486,220830,215656,1995
Oaxaca,10 a 14 años,434282,220899,213383,1995
Oaxaca,15 a 19 años,358526,178098,180428,1995
Oaxaca,20 a 24 años,281574,133575,147999,1995
Oaxaca,25 a 29 años,223026,104693,118333,1995
Oaxaca,30 a 34 años,198336,94093,104243,1995
Oaxaca,35 a 39 años,183926,86730,97196,1995
Oaxaca,40 a 44 años,143539,69431,74108,1995
Oaxaca,45 a 49 años,123361,58894,64467,1995
Oaxaca,50 a 54 años,103778,49639,54139,1995
Oaxaca,55 a 59 años,83816,39984,43832,1995
Oaxaca,60 a 64 años,78424,37683,40741,1995
Oaxaca,65 a 69 años,55762,26632,29130,1995
Oaxaca,70 a 74 años,43471,21251,22220,1995
Oaxaca,75 a 79 años,28012,13617,14395,1995
Oaxaca,80 a 84 años,18426,8419,10007,1995
Oaxaca,85 a 89 años,9835,4628,5207,1995
Oaxaca,90 a 94 años,4457,1928,2529,1995
Oaxaca,95 a 99 años,2299,976,1323,1995
Oaxaca,100 años y más,731,291,440,1995
Oaxaca,No especificado,14723,6561,8162,1995
Puebla,0 a 4 años,574929,290579,284350,1995
Puebla,5 a 9 años,594003,300772,293231,1995
Puebla,10 a 14 años,591644,299025,292619,1995
Puebla,15 a 19 años,526378,259523,266855,1995
Puebla,20 a 24 años,447281,212862,234419,1995
Puebla,25 a 29 años,351785,165411,186374,1995
Puebla,30 a 34 años,299213,140849,158364,1995
Puebla,35 a 39 años,275167,129853,145314,1995
Puebla,40 a 44 años,207950,100039,107911,1995
Puebla,45 a 49 años,175518,83337,92181,1995
Puebla,50 a 54 años,139750,66956,72794,1995
Puebla,55 a 59 años,113605,53333,60272,1995
Puebla,60 a 64 años,100868,47280,53588,1995
Puebla,65 a 69 años,76919,35373,41546,1995
Puebla,70 a 74 años,57670,27227,30443,1995
Puebla,75 a 79 años,38212,18186,20026,1995
Puebla,80 a 84 años,22993,9964,13029,1995
Puebla,85 a 89 años,14447,6285,8162,1995
Puebla,90 a 94 años,6218,2547,3671,1995
Puebla,95 a 99 años,3474,1354,2120,1995
Puebla,100 años y más,1010,311,699,1995
Puebla,No especificado,5331,2410,2921,1995
Querétaro,0 a 4 años,159062,80413,78649,1995
Querétaro,5 a 9 años,159715,80724,78991,1995
Querétaro,10 a 14 años,155971,78843,77128,1995
Querétaro,15 a 19 años,145338,71349,73989,1995
Querétaro,20 a 24 años,130819,62591,68228,1995
Querétaro,25 a 29 años,103287,49042,54245,1995
Querétaro,30 a 34 años,89066,42868,46198,1995
Querétaro,35 a 39 años,77155,37633,39522,1995
Querétaro,40 a 44 años,56445,28124,28321,1995
Querétaro,45 a 49 años,43552,21587,21965,1995
Querétaro,50 a 54 años,33922,16851,17071,1995
Querétaro,55 a 59 años,25227,12280,12947,1995
Querétaro,60 a 64 años,21951,10393,11558,1995
Querétaro,65 a 69 años,15847,7473,8374,1995
Querétaro,70 a 74 años,12377,5987,6390,1995
Querétaro,75 a 79 años,7532,3497,4035,1995
Querétaro,80 a 84 años,5166,2238,2928,1995
Querétaro,85 a 89 años,3162,1399,1763,1995
Querétaro,90 a 94 años,1288,562,726,1995
Querétaro,95 a 99 años,639,255,384,1995
Querétaro,100 años y más,140,46,94,1995
Querétaro,No especificado,2815,1329,1486,1995
Quintana Roo,0 a 4 años,96834,49230,47604,1995
Quintana Roo,5 a 9 años,87369,44445,42924,1995
Quintana Roo,10 a 14 años,77546,39550,37996,1995
Quintana Roo,15 a 19 años,75509,38095,37414,1995
Quintana Roo,20 a 24 años,81267,41218,40049,1995
Quintana Roo,25 a 29 años,72421,37052,35369,1995
Quintana Roo,30 a 34 años,58722,30204,28518,1995
Quintana Roo,35 a 39 años,45621,23653,21968,1995
Quintana Roo,40 a 44 años,31617,16799,14818,1995
Quintana Roo,45 a 49 años,23400,12479,10921,1995
Quintana Roo,50 a 54 años,16174,8719,7455,1995
Quintana Roo,55 a 59 años,11398,6034,5364,1995
Quintana Roo,60 a 64 años,8972,4747,4225,1995
Quintana Roo,65 a 69 años,5655,3053,2602,1995
Quintana Roo,70 a 74 años,4227,2391,1836,1995
Quintana Roo,75 a 79 años,2473,1403,1070,1995
Quintana Roo,80 a 84 años,1392,791,601,1995
Quintana Roo,85 a 89 años,710,408,302,1995
Quintana Roo,90 a 94 años,303,158,145,1995
Quintana Roo,95 a 99 años,142,70,72,1995
Quintana Roo,100 años y más,63,37,26,1995
Quintana Roo,No especificado,1721,923,798,1995
San Luis Potosí,0 a 4 años,279967,141909,138058,1995
San Luis Potosí,5 a 9 años,278902,141801,137101,1995
San Luis Potosí,10 a 14 años,277578,140700,136878,1995
San Luis Potosí,15 a 19 años,246271,122685,123586,1995
San Luis Potosí,20 a 24 años,206873,99110,107763,1995
San Luis Potosí,25 a 29 años,164964,77995,86969,1995
San Luis Potosí,30 a 34 años,143446,68229,75217,1995
San Luis Potosí,35 a 39 años,127109,61324,65785,1995
San Luis Potosí,40 a 44 años,98704,48276,50428,1995
San Luis Potosí,45 a 49 años,83724,41175,42549,1995
San Luis Potosí,50 a 54 años,69022,33914,35108,1995
San Luis Potosí,55 a 59 años,57161,28230,28931,1995
San Luis Potosí,60 a 64 años,51004,25035,25969,1995
San Luis Potosí,65 a 69 años,38714,19067,19647,1995
San Luis Potosí,70 a 74 años,29252,14890,14362,1995
San Luis Potosí,75 a 79 años,16847,8488,8359,1995
San Luis Potosí,80 a 84 años,12110,5735,6375,1995
San Luis Potosí,85 a 89 años,7959,3768,4191,1995
San Luis Potosí,90 a 94 años,3550,1639,1911,1995
San Luis Potosí,95 a 99 años,1557,689,868,1995
San Luis Potosí,100 años y más,403,131,272,1995
San Luis Potosí,No especificado,5646,2710,2936,1995
Sinaloa,0 a 4 años,281823,143911,137912,1995
Sinaloa,5 a 9 años,283285,143939,139346,1995
Sinaloa,10 a 14 años,282968,143623,139345,1995
Sinaloa,15 a 19 años,283114,142881,140233,1995
Sinaloa,20 a 24 años,254765,127511,127254,1995
Sinaloa,25 a 29 años,195551,95466,100085,1995
Sinaloa,30 a 34 años,169208,81771,87437,1995
Sinaloa,35 a 39 años,153271,74295,78976,1995
Sinaloa,40 a 44 años,120409,60004,60405,1995
Sinaloa,45 a 49 años,97272,48985,48287,1995
Sinaloa,50 a 54 años,79839,41054,38785,1995
Sinaloa,55 a 59 años,62917,32389,30528,1995
Sinaloa,60 a 64 años,50727,25879,24848,1995
Sinaloa,65 a 69 años,37861,19148,18713,1995
Sinaloa,70 a 74 años,28195,14339,13856,1995
Sinaloa,75 a 79 años,18345,9100,9245,1995
Sinaloa,80 a 84 años,11668,5445,6223,1995
Sinaloa,85 a 89 años,6781,3057,3724,1995
Sinaloa,90 a 94 años,2358,1037,1321,1995
Sinaloa,95 a 99 años,1151,513,638,1995
Sinaloa,100 años y más,335,137,198,1995
Sinaloa,No especificado,3832,1931,1901,1995
Sonora,0 a 4 años,239515,122220,117295,1995
Sonora,5 a 9 años,233167,118417,114750,1995
Sonora,10 a 14 años,225173,114032,111141,1995
Sonora,15 a 19 años,225130,113890,111240,1995
Sonora,20 a 24 años,219665,110207,109458,1995
Sonora,25 a 29 años,180457,89374,91083,1995
Sonora,30 a 34 años,159506,78380,81126,1995
Sonora,35 a 39 años,143298,70923,72375,1995
Sonora,40 a 44 años,108710,54787,53923,1995
Sonora,45 a 49 años,85758,43323,42435,1995
Sonora,50 a 54 años,69920,35410,34510,1995
Sonora,55 a 59 años,55615,28127,27488,1995
Sonora,60 a 64 años,45734,23133,22601,1995
Sonora,65 a 69 años,34319,17249,17070,1995
Sonora,70 a 74 años,24339,12493,11846,1995
Sonora,75 a 79 años,15612,7755,7857,1995
Sonora,80 a 84 años,8887,3981,4906,1995
Sonora,85 a 89 años,4846,2144,2702,1995
Sonora,90 a 94 años,1536,685,851,1995
Sonora,95 a 99 años,701,305,396,1995
Sonora,100 años y más,183,63,120,1995
Sonora,No especificado,3465,2035,1430,1995
Tabasco,0 a 4 años,216423,109644,106779,1995
Tabasco,5 a 9 años,224135,113280,110855,1995
Tabasco,10 a 14 años,225955,114091,111864,1995
Tabasco,15 a 19 años,207996,102227,105769,1995
Tabasco,20 a 24 años,180648,86928,93720,1995
Tabasco,25 a 29 años,143820,69173,74647,1995
Tabasco,30 a 34 años,123023,60444,62579,1995
Tabasco,35 a 39 años,110421,54958,55463,1995
Tabasco,40 a 44 años,79309,40278,39031,1995
Tabasco,45 a 49 años,61601,31405,30196,1995
Tabasco,50 a 54 años,46169,23567,22602,1995
Tabasco,55 a 59 años,36478,18626,17852,1995
Tabasco,60 a 64 años,30607,15588,15019,1995
Tabasco,65 a 69 años,21043,10624,10419,1995
Tabasco,70 a 74 años,15449,8327,7122,1995
Tabasco,75 a 79 años,9585,4988,4597,1995
Tabasco,80 a 84 años,6064,3121,2943,1995
Tabasco,85 a 89 años,3781,1948,1833,1995
Tabasco,90 a 94 años,1715,870,845,1995
Tabasco,95 a 99 años,982,484,498,1995
Tabasco,100 años y más,523,227,296,1995
Tabasco,No especificado,3042,1445,1597,1995
Tamaulipas,0 a 4 años,282902,144467,138435,1995
Tamaulipas,5 a 9 años,270441,138027,132414,1995
Tamaulipas,10 a 14 años,263237,133432,129805,1995
Tamaulipas,15 a 19 años,275684,137625,138059,1995
Tamaulipas,20 a 24 años,274901,134302,140599,1995
Tamaulipas,25 a 29 años,229796,111930,117866,1995
Tamaulipas,30 a 34 años,195075,95548,99527,1995
Tamaulipas,35 a 39 años,168254,82499,85755,1995
Tamaulipas,40 a 44 años,126389,62336,64053,1995
Tamaulipas,45 a 49 años,103927,50597,53330,1995
Tamaulipas,50 a 54 años,86224,42550,43674,1995
Tamaulipas,55 a 59 años,70066,34462,35604,1995
Tamaulipas,60 a 64 años,59763,29003,30760,1995
Tamaulipas,65 a 69 años,43449,21018,22431,1995
Tamaulipas,70 a 74 años,31519,15467,16052,1995
Tamaulipas,75 a 79 años,17911,8539,9372,1995
Tamaulipas,80 a 84 años,11705,5402,6303,1995
Tamaulipas,85 a 89 años,7576,3517,4059,1995
Tamaulipas,90 a 94 años,2914,1346,1568,1995
Tamaulipas,95 a 99 años,1220,561,659,1995
Tamaulipas,100 años y más,296,116,180,1995
Tamaulipas,No especificado,4079,1956,2123,1995
Tlaxcala,0 a 4 años,106844,54455,52389,1995
Tlaxcala,5 a 9 años,109410,55694,53716,1995
Tlaxcala,10 a 14 años,110597,55744,54853,1995
Tlaxcala,15 a 19 años,103743,51416,52327,1995
Tlaxcala,20 a 24 años,90107,43311,46796,1995
Tlaxcala,25 a 29 años,71169,33868,37301,1995
Tlaxcala,30 a 34 años,61544,29238,32306,1995
Tlaxcala,35 a 39 años,54029,25910,28119,1995
Tlaxcala,40 a 44 años,38503,18878,19625,1995
Tlaxcala,45 a 49 años,31649,15480,16169,1995
Tlaxcala,50 a 54 años,25113,12321,12792,1995
Tlaxcala,55 a 59 años,20211,9745,10466,1995
Tlaxcala,60 a 64 años,18174,8695,9479,1995
Tlaxcala,65 a 69 años,14448,6931,7517,1995
Tlaxcala,70 a 74 años,10838,5324,5514,1995
Tlaxcala,75 a 79 años,7367,3620,3747,1995
Tlaxcala,80 a 84 años,4334,2094,2240,1995
Tlaxcala,85 a 89 años,3127,1477,1650,1995
Tlaxcala,90 a 94 años,1238,557,681,1995
Tlaxcala,95 a 99 años,643,268,375,1995
Tlaxcala,100 años y más,138,43,95,1995
Tlaxcala,No especificado,698,321,377,1995
Veracruz de Ignacio de la Llave,0 a 4 años,776467,395230,381237,1995
Veracruz de Ignacio de la Llave,5 a 9 años,808231,410700,397531,1995
Veracruz de Ignacio de la Llave,10 a 14 años,807421,410912,396509,1995
Veracruz de Ignacio de la Llave,15 a 19 años,735362,366861,368501,1995
Veracruz de Ignacio de la Llave,20 a 24 años,647799,311116,336683,1995
Veracruz de Ignacio de la Llave,25 a 29 años,543854,259835,284019,1995
Veracruz de Ignacio de la Llave,30 a 34 años,474740,228981,245759,1995
Veracruz de Ignacio de la Llave,35 a 39 años,432316,208089,224227,1995
Veracruz de Ignacio de la Llave,40 a 44 años,336144,164379,171765,1995
Veracruz de Ignacio de la Llave,45 a 49 años,284928,139122,145806,1995
Veracruz de Ignacio de la Llave,50 a 54 años,227050,111635,115415,1995
Veracruz de Ignacio de la Llave,55 a 59 años,183424,89307,94117,1995
Veracruz de Ignacio de la Llave,60 a 64 años,154740,74398,80342,1995
Veracruz de Ignacio de la Llave,65 a 69 años,112997,53595,59402,1995
Veracruz de Ignacio de la Llave,70 a 74 años,82096,40157,41939,1995
Veracruz de Ignacio de la Llave,75 a 79 años,51656,24807,26849,1995
Veracruz de Ignacio de la Llave,80 a 84 años,32694,14679,18015,1995
Veracruz de Ignacio de la Llave,85 a 89 años,19582,8781,10801,1995
Veracruz de Ignacio de la Llave,90 a 94 años,8609,3695,4914,1995
Veracruz de Ignacio de la Llave,95 a 99 años,4665,2070,2595,1995
Veracruz de Ignacio de la Llave,100 años y más,1732,645,1087,1995
Veracruz de Ignacio de la Llave,No especificado,10817,4886,5931,1995
Yucatán,0 a 4 años,178063,90324,87739,1995
Yucatán,5 a 9 años,182490,92524,89966,1995
Yucatán,10 a 14 años,180223,91435,88788,1995
Yucatán,15 a 19 años,170674,84925,85749,1995
Yucatán,20 a 24 años,157458,77339,80119,1995
Yucatán,25 a 29 años,120066,58455,61611,1995
Yucatán,30 a 34 años,105949,51436,54513,1995
Yucatán,35 a 39 años,95371,46353,49018,1995
Yucatán,40 a 44 años,79077,38730,40347,1995
Yucatán,45 a 49 años,68487,33760,34727,1995
Yucatán,50 a 54 años,51694,25443,26251,1995
Yucatán,55 a 59 años,41577,20340,21237,1995
Yucatán,60 a 64 años,35797,17516,18281,1995
Yucatán,65 a 69 años,27734,13676,14058,1995
Yucatán,70 a 74 años,23662,12011,11651,1995
Yucatán,75 a 79 años,16966,8731,8235,1995
Yucatán,80 a 84 años,9959,4847,5112,1995
Yucatán,85 a 89 años,5616,2769,2847,1995
Yucatán,90 a 94 años,2127,998,1129,1995
Yucatán,95 a 99 años,794,377,417,1995
Yucatán,100 años y más,147,64,83,1995
Yucatán,No especificado,2691,1382,1309,1995
Zacatecas,0 a 4 años,160610,81928,78682,1995
Zacatecas,5 a 9 años,171797,87400,84397,1995
Zacatecas,10 a 14 años,173536,87970,85566,1995
Zacatecas,15 a 19 años,159590,77607,81983,1995
Zacatecas,20 a 24 años,126861,59278,67583,1995
Zacatecas,25 a 29 años,98409,45720,52689,1995
Zacatecas,30 a 34 años,84527,39772,44755,1995
Zacatecas,35 a 39 años,73092,34745,38347,1995
Zacatecas,40 a 44 años,55923,27009,28914,1995
Zacatecas,45 a 49 años,48555,23360,25195,1995
Zacatecas,50 a 54 años,41667,20389,21278,1995
Zacatecas,55 a 59 años,34251,16837,17414,1995
Zacatecas,60 a 64 años,32177,15849,16328,1995
Zacatecas,65 a 69 años,24586,12218,12368,1995
Zacatecas,70 a 74 años,19451,9945,9506,1995
Zacatecas,75 a 79 años,11604,5840,5764,1995
Zacatecas,80 a 84 años,8671,4219,4452,1995
Zacatecas,85 a 89 años,5504,2775,2729,1995
Zacatecas,90 a 94 años,2355,1165,1190,1995
Zacatecas,95 a 99 años,933,430,503,1995
Zacatecas,100 años y más,192,74,118,1995
Zacatecas,No especificado,2205,1010,1195,1995
Estados Unidos Mexicanos,0 a 4 años,10635157,5401306,5233851,2000
Estados Unidos Mexicanos,5 a 9 años,11215323,5677711,5537612,2000
Estados Unidos Mexicanos,10 a 14 años,10736493,5435737,5300756,2000
Estados Unidos Mexicanos,15 a 19 años,9992135,4909648,5082487,2000
Estados Unidos Mexicanos,20 a 24 años,9071134,4303600,4767534,2000
Estados Unidos Mexicanos,25 a 29 años,8157743,3861482,4296261,2000
Estados Unidos Mexicanos,30 a 34 años,7136523,3383356,3753167,2000
Estados Unidos Mexicanos,35 a 39 años,6352538,3023328,3329210,2000
Estados Unidos Mexicanos,40 a 44 años,5194833,2494771,2700062,2000
Estados Unidos Mexicanos,45 a 49 años,4072091,1957177,2114914,2000
Estados Unidos Mexicanos,50 a 54 años,3357953,1624033,1733920,2000
Estados Unidos Mexicanos,55 a 59 años,2559231,1234072,1325159,2000
Estados Unidos Mexicanos,60 a 64 años,2198146,1045404,1152742,2000
Estados Unidos Mexicanos,65 a 69 años,1660785,779666,881119,2000
Estados Unidos Mexicanos,70 a 74 años,1245674,589106,656568,2000
Estados Unidos Mexicanos,75 a 79 años,865270,411197,454073,2000
Estados Unidos Mexicanos,80 a 84 años,483876,217330,266546,2000
Estados Unidos Mexicanos,85 a 89 años,290051,125041,165010,2000
Estados Unidos Mexicanos,90 a 94 años,122006,50843,71163,2000
Estados Unidos Mexicanos,95 a 99 años,62892,25741,37151,2000
Estados Unidos Mexicanos,100 años y más,19757,8029,11728,2000
Estados Unidos Mexicanos,No especificado,2053801,1033675,1020126,2000
Aguascalientes,0 a 4 años,116137,58831,57306,2000
Aguascalientes,5 a 9 años,117375,59375,58000,2000
Aguascalientes,10 a 14 años,108532,54930,53602,2000
Aguascalientes,15 a 19 años,99577,48733,50844,2000
Aguascalientes,20 a 24 años,87508,40526,46982,2000
Aguascalientes,25 a 29 años,79200,36461,42739,2000
Aguascalientes,30 a 34 años,70317,32438,37879,2000
Aguascalientes,35 a 39 años,60839,28736,32103,2000
Aguascalientes,40 a 44 años,49365,23383,25982,2000
Aguascalientes,45 a 49 años,37541,17855,19686,2000
Aguascalientes,50 a 54 años,30202,14400,15802,2000
Aguascalientes,55 a 59 años,22094,10638,11456,2000
Aguascalientes,60 a 64 años,17759,8129,9630,2000
Aguascalientes,65 a 69 años,13752,6333,7419,2000
Aguascalientes,70 a 74 años,10714,4901,5813,2000
Aguascalientes,75 a 79 años,7754,3648,4106,2000
Aguascalientes,80 a 84 años,4336,1915,2421,2000
Aguascalientes,85 a 89 años,2726,1185,1541,2000
Aguascalientes,90 a 94 años,1169,466,703,2000
Aguascalientes,95 a 99 años,542,241,301,2000
Aguascalientes,100 años y más,102,44,58,2000
Aguascalientes,No especificado,6744,3365,3379,2000
Baja California,0 a 4 años,268682,136979,131703,2000
Baja California,5 a 9 años,260331,132492,127839,2000
Baja California,10 a 14 años,226758,115261,111497,2000
Baja California,15 a 19 años,220707,112046,108661,2000
Baja California,20 a 24 años,231966,115775,116191,2000
Baja California,25 a 29 años,230907,116644,114263,2000
Baja California,30 a 34 años,197807,100728,97079,2000
Baja California,35 a 39 años,165348,83873,81475,2000
Baja California,40 a 44 años,126564,63537,63027,2000
Baja California,45 a 49 años,92839,46040,46799,2000
Baja California,50 a 54 años,73548,36227,37321,2000
Baja California,55 a 59 años,53639,26116,27523,2000
Baja California,60 a 64 años,44174,21414,22760,2000
Baja California,65 a 69 años,32561,15643,16918,2000
Baja California,70 a 74 años,23192,11386,11806,2000
Baja California,75 a 79 años,15403,7530,7873,2000
Baja California,80 a 84 años,8005,3666,4339,2000
Baja California,85 a 89 años,4322,1706,2616,2000
Baja California,90 a 94 años,1675,694,981,2000
Baja California,95 a 99 años,857,340,517,2000
Baja California,100 años y más,266,114,152,2000
Baja California,No especificado,207816,104370,103446,2000
Baja California Sur,0 a 4 años,45613,23303,22310,2000
Baja California Sur,5 a 9 años,45929,23414,22515,2000
Baja California Sur,10 a 14 años,43302,22058,21244,2000
Baja California Sur,15 a 19 años,42376,21922,20454,2000
Baja California Sur,20 a 24 años,42278,21345,20933,2000
Baja California Sur,25 a 29 años,40264,20373,19891,2000
Baja California Sur,30 a 34 años,35609,18036,17573,2000
Baja California Sur,35 a 39 años,31282,15778,15504,2000
Baja California Sur,40 a 44 años,25053,12759,12294,2000
Baja California Sur,45 a 49 años,18593,9702,8891,2000
Baja California Sur,50 a 54 años,14109,7329,6780,2000
Baja California Sur,55 a 59 años,10631,5492,5139,2000
Baja California Sur,60 a 64 años,8248,4294,3954,2000
Baja California Sur,65 a 69 años,6145,3169,2976,2000
Baja California Sur,70 a 74 años,4176,2107,2069,2000
Baja California Sur,75 a 79 años,2894,1437,1457,2000
Baja California Sur,80 a 84 años,1725,790,935,2000
Baja California Sur,85 a 89 años,966,408,558,2000
Baja California Sur,90 a 94 años,361,161,200,2000
Baja California Sur,95 a 99 años,221,80,141,2000
Baja California Sur,100 años y más,53,23,30,2000
Baja California Sur,No especificado,4213,2270,1943,2000
Campeche,0 a 4 años,78424,39670,38754,2000
Campeche,5 a 9 años,83090,41982,41108,2000
Campeche,10 a 14 años,80246,40529,39717,2000
Campeche,15 a 19 años,73769,36751,37018,2000
Campeche,20 a 24 años,66395,31911,34484,2000
Campeche,25 a 29 años,57599,27661,29938,2000
Campeche,30 a 34 años,50021,24435,25586,2000
Campeche,35 a 39 años,45603,22444,23159,2000
Campeche,40 a 44 años,36088,18061,18027,2000
Campeche,45 a 49 años,28962,14474,14488,2000
Campeche,50 a 54 años,22362,11346,11016,2000
Campeche,55 a 59 años,16699,8540,8159,2000
Campeche,60 a 64 años,14546,7371,7175,2000
Campeche,65 a 69 años,10683,5389,5294,2000
Campeche,70 a 74 años,8374,4412,3962,2000
Campeche,75 a 79 años,5787,3093,2694,2000
Campeche,80 a 84 años,3421,1789,1632,2000
Campeche,85 a 89 años,1777,912,865,2000
Campeche,90 a 94 años,714,370,344,2000
Campeche,95 a 99 años,414,205,209,2000
Campeche,100 años y más,149,79,70,2000
Campeche,No especificado,5566,2910,2656,2000
Coahuila de Zaragoza,0 a 4 años,253171,129130,124041,2000
Coahuila de Zaragoza,5 a 9 años,257228,130718,126510,2000
Coahuila de Zaragoza,10 a 14 años,234659,119135,115524,2000
Coahuila de Zaragoza,15 a 19 años,225416,113776,111640,2000
Coahuila de Zaragoza,20 a 24 años,223857,110790,113067,2000
Coahuila de Zaragoza,25 a 29 años,204662,99588,105074,2000
Coahuila de Zaragoza,30 a 34 años,179690,86903,92787,2000
Coahuila de Zaragoza,35 a 39 años,157386,76375,81011,2000
Coahuila de Zaragoza,40 a 44 años,128951,63095,65856,2000
Coahuila de Zaragoza,45 a 49 años,98997,48525,50472,2000
Coahuila de Zaragoza,50 a 54 años,82932,40702,42230,2000
Coahuila de Zaragoza,55 a 59 años,63057,30959,32098,2000
Coahuila de Zaragoza,60 a 64 años,53853,26017,27836,2000
Coahuila de Zaragoza,65 a 69 años,39173,18870,20303,2000
Coahuila de Zaragoza,70 a 74 años,28943,13890,15053,2000
Coahuila de Zaragoza,75 a 79 años,19396,9322,10074,2000
Coahuila de Zaragoza,80 a 84 años,10102,4679,5423,2000
Coahuila de Zaragoza,85 a 89 años,6051,2555,3496,2000
Coahuila de Zaragoza,90 a 94 años,2420,991,1429,2000
Coahuila de Zaragoza,95 a 99 años,1027,428,599,2000
Coahuila de Zaragoza,100 años y más,253,87,166,2000
Coahuila de Zaragoza,No especificado,26846,13660,13186,2000
Colima,0 a 4 años,53295,27427,25868,2000
Colima,5 a 9 años,57165,29298,27867,2000
Colima,10 a 14 años,57422,29057,28365,2000
Colima,15 a 19 años,54826,27289,27537,2000
Colima,20 a 24 años,48878,23281,25597,2000
Colima,25 a 29 años,43310,20598,22712,2000
Colima,30 a 34 años,38024,17968,20056,2000
Colima,35 a 39 años,35524,17173,18351,2000
Colima,40 a 44 años,29529,14500,15029,2000
Colima,45 a 49 años,22683,11218,11465,2000
Colima,50 a 54 años,18269,9096,9173,2000
Colima,55 a 59 años,14053,7006,7047,2000
Colima,60 a 64 años,11339,5529,5810,2000
Colima,65 a 69 años,8777,4211,4566,2000
Colima,70 a 74 años,6599,3297,3302,2000
Colima,75 a 79 años,5086,2532,2554,2000
Colima,80 a 84 años,3129,1474,1655,2000
Colima,85 a 89 años,1879,849,1030,2000
Colima,90 a 94 años,760,332,428,2000
Colima,95 a 99 años,397,180,217,2000
Colima,100 años y más,128,59,69,2000
Colima,No especificado,31555,15818,15737,2000
Chiapas,0 a 4 años,483372,245014,238358,2000
Chiapas,5 a 9 años,518550,261521,257029,2000
Chiapas,10 a 14 años,488791,247331,241460,2000
Chiapas,15 a 19 años,433517,212353,221164,2000
Chiapas,20 a 24 años,361994,172044,189950,2000
Chiapas,25 a 29 años,292960,138292,154668,2000
Chiapas,30 a 34 años,242588,116714,125874,2000
Chiapas,35 a 39 años,226620,109185,117435,2000
Chiapas,40 a 44 años,174699,87135,87564,2000
Chiapas,45 a 49 años,141959,70479,71480,2000
Chiapas,50 a 54 años,110635,56191,54444,2000
Chiapas,55 a 59 años,83843,42296,41547,2000
Chiapas,60 a 64 años,72099,36805,35294,2000
Chiapas,65 a 69 años,49327,24592,24735,2000
Chiapas,70 a 74 años,37597,19429,18168,2000
Chiapas,75 a 79 años,23858,12422,11436,2000
Chiapas,80 a 84 años,14768,7451,7317,2000
Chiapas,85 a 89 años,7712,3817,3895,2000
Chiapas,90 a 94 años,3896,1892,2004,2000
Chiapas,95 a 99 años,2309,1126,1183,2000
Chiapas,100 años y más,1241,611,630,2000
Chiapas,No especificado,148557,75180,73377,2000
Chihuahua,0 a 4 años,334521,169900,164621,2000
Chihuahua,5 a 9 años,341921,173436,168485,2000
Chihuahua,10 a 14 años,306679,155835,150844,2000
Chihuahua,15 a 19 años,290939,147754,143185,2000
Chihuahua,20 a 24 años,280013,139615,140398,2000
Chihuahua,25 a 29 años,272404,134363,138041,2000
Chihuahua,30 a 34 años,242428,119203,123225,2000
Chihuahua,35 a 39 años,207365,101506,105859,2000
Chihuahua,40 a 44 años,162697,79276,83421,2000
Chihuahua,45 a 49 años,121932,58943,62989,2000
Chihuahua,50 a 54 años,103012,50052,52960,2000
Chihuahua,55 a 59 años,81615,39566,42049,2000
Chihuahua,60 a 64 años,71437,34821,36616,2000
Chihuahua,65 a 69 años,51719,25177,26542,2000
Chihuahua,70 a 74 años,37728,18255,19473,2000
Chihuahua,75 a 79 años,24488,11965,12523,2000
Chihuahua,80 a 84 años,12813,5889,6924,2000
Chihuahua,85 a 89 años,7526,3344,4182,2000
Chihuahua,90 a 94 años,2770,1166,1604,2000
Chihuahua,95 a 99 años,1242,531,711,2000
Chihuahua,100 años y más,329,148,181,2000
Chihuahua,No especificado,97329,49227,48102,2000
Ciudad de México,0 a 4 años,737934,375222,362712,2000
Ciudad de México,5 a 9 años,764094,387936,376158,2000
Ciudad de México,10 a 14 años,742986,375369,367617,2000
Ciudad de México,15 a 19 años,798349,390049,408300,2000
Ciudad de México,20 a 24 años,832517,400924,431593,2000
Ciudad de México,25 a 29 años,840487,403311,437176,2000
Ciudad de México,30 a 34 años,731452,346860,384592,2000
Ciudad de México,35 a 39 años,655973,307235,348738,2000
Ciudad de México,40 a 44 años,556565,258920,297645,2000
Ciudad de México,45 a 49 años,441804,203214,238590,2000
Ciudad de México,50 a 54 años,373595,171939,201656,2000
Ciudad de México,55 a 59 años,269845,122660,147185,2000
